Filename	taxid	subspecies	Species	Genus	Family
GCF_002243535.1_ASM224353v1_genomic.fna.gz	51669	NA	Tetragenococcus halophilus	Tetragenococcus	Enterococcaceae
GCF_002208705.2_ASM220870v2_genomic.fna.gz	1770	NA	Mycobacterium avium	Mycobacterium	Mycobacteriaceae
GCF_002850315.1_ASM285031v1_genomic.fna.gz	1282	NA	Staphylococcus epidermidis	Staphylococcus	Staphylococcaceae
GCF_000828035.1_ASM82803v1_genomic.fna.gz	1343064	Staphylococcus aureus subsp. aureus	Staphylococcus aureus	Staphylococcus	Staphylococcaceae
GCF_001953695.1_ASM195369v1_genomic.fna.gz	90105	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_002192315.1_ASM219231v1_genomic.fna.gz	573	NA	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae
GCF_001628775.1_ASM162877v1_genomic.fna.gz	105219	NA	Ralstonia mannitolilytica	Ralstonia	Burkholderiaceae
GCF_000959125.1_ASM95912v1_genomic.fna.gz	884204	NA	Burkholderia pseudomallei	Burkholderia	Burkholderiaceae
GCF_002945135.1_ASM294513v1_genomic.fna.gz	562	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_001941385.1_ASM194138v1_genomic.fna.gz	46541	NA	Thermosipho melanesiensis	Thermosipho	Fervidobacteriaceae
GCF_000764555.1_ASM76455v1_genomic.fna.gz	1547445	NA	Francisella sp. FSC1006	Francisella	Francisellaceae
GCF_001421015.1_ASM142101v1_genomic.fna.gz	1616788	NA	Paenibacillus bovis	Paenibacillus	Paenibacillaceae
GCF_001887575.1_ASM188757v1_genomic.fna.gz	28450	NA	Burkholderia pseudomallei	Burkholderia	Burkholderiaceae
GCF_000493295.2_ASM49329v2_genomic.fna.gz	1124962	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_000695835.1_ASM69583v1_genomic.fna.gz	2113	NA	Mycoplasma californicum	Mycoplasma	Mycoplasmataceae
GCF_000743255.1_ASM74325v1_genomic.fna.gz	1322345	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_001307215.1_ASM130721v1_genomic.fna.gz	83334	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_002892145.1_ASM289214v1_genomic.fna.gz	221822	NA	Phaeobacter inhibens	Phaeobacter	Rhodobacteraceae
GCF_001682435.2_ASM168243v2_genomic.fna.gz	283734	NA	Staphylococcus pseudintermedius	Staphylococcus	Staphylococcaceae
GCF_001611975.1_ASM161197v1_genomic.fna.gz	1549855	NA	Haematospirillum jordaniae	Haematospirillum	Rhodospirillaceae
GCF_000280495.2_ASM28049v2_genomic.fna.gz	1177180	NA	Kosakonia radicincitans	Kosakonia	Enterobacteriaceae
GCF_000801275.2_ASM80127v1_genomic.fna.gz	28173	NA	Vibrio nigripulchritudo	Vibrio	Vibrionaceae
GCF_002238335.1_ASM223833v1_genomic.fna.gz	522484	NA	Campylobacter avium	Campylobacter	Campylobacteraceae
GCF_001548155.2_BV133_assembly_1.0_genomic.fna.gz	1079	NA	Blastochloris viridis	Blastochloris	Hyphomicrobiaceae
GCF_001295365.1_ASM129536v1_genomic.fna.gz	1426	NA	Parageobacillus thermoglucosidasius	Parageobacillus	Bacillaceae
GCF_001618345.2_ASM161834v2_genomic.fna.gz	562	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_002214125.1_ASM221412v1_genomic.fna.gz	1196165	NA	Listeria monocytogenes	Listeria	Listeriaceae
GCF_000164905.1_ASM16490v1_genomic.fna.gz	608538	NA	Hydrogenobacter thermophilus	Hydrogenobacter	Aquificaceae
GCF_002024845.1_ASM202484v1_genomic.fna.gz	1590	NA	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae
GCF_002762155.1_ASM276215v1_genomic.fna.gz	470	NA	Acinetobacter baumannii	Acinetobacter	Moraxellaceae
GCF_000011025.1_ASM1102v1_genomic.fna.gz	680646	NA	Rothia mucilaginosa	Rothia	Micrococcaceae
GCF_000022625.1_ASM2262v1_genomic.fna.gz	546272	NA	Brucella melitensis	Brucella	Brucellaceae
GCF_001900815.1_ASM190081v1_genomic.fna.gz	562	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_002213825.1_ASM221382v1_genomic.fna.gz	1196168	NA	Listeria monocytogenes	Listeria	Listeriaceae
GCF_001971585.1_ASM197158v1_genomic.fna.gz	1847728	NA	Lactobacillus allii	Lactobacillus	Lactobacillaceae
GCF_001721145.1_ASM172114v1_genomic.fna.gz	1396	NA	Bacillus cereus	Bacillus	Bacillaceae
GCF_000940935.2_ASM94093v2_genomic.fna.gz	1454620	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_003173775.1_ASM317377v1_genomic.fna.gz	2202826	NA	Methylobacterium sp. 17Sr1-1	Methylobacterium	Methylobacteriaceae
GCF_001717665.1_ASM171766v2_genomic.fna.gz	46170	NA	Staphylococcus aureus	Staphylococcus	Staphylococcaceae
GCF_002089035.1_ASM208903v1_genomic.fna.gz	1280	NA	Staphylococcus aureus	Staphylococcus	Staphylococcaceae
GCF_002863685.1_ASM286368v1_genomic.fna.gz	562	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_000027125.1_ASM2712v1_genomic.fna.gz	216592	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_000014725.1_ASM1472v1_genomic.fna.gz	335541	Syntrophomonas wolfei subsp. wolfei	Syntrophomonas wolfei	Syntrophomonas	Syntrophomonadaceae
GCF_001634365.1_ASM163436v1_genomic.fna.gz	1804984	NA	Burkholderia sp. OLGA172	Burkholderia	Burkholderiaceae
GCF_000439415.1_ASM43941v1_genomic.fna.gz	1173427	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_003184985.1_ASM318498v1_genomic.fna.gz	1280	NA	Staphylococcus aureus	Staphylococcus	Staphylococcaceae
GCF_000009845.1_ASM984v1_genomic.fna.gz	262768	NA	Onion yellows phytoplasma	Candidatus Phytoplasma	Acholeplasmataceae
