Isolate	Distance to 510	Distance to 519	Distance to 524	Distance to 522	Distance to 523	Distance to 506	Distance to 507	Distance to 515	Distance to 520	Distance to 502	Distance to 513	Distance to 512	Distance to 521	Distance to 518	Distance to 514	Distance to 517	Distance to 516	Distance to 505	Distance to 511	Distance to 504	Distance to 538	Distance to 552	Distance to 556	Distance to 555	Distance to 549	Distance to 545	Distance to 557	Distance to 550	Distance to 558	Distance to 543	Distance to 544	Distance to 554	Distance to 551	Distance to 553	Distance to 548	Distance to 559	Distance to 537	Distance to 546	Distance to 547	Distance to 539	Distance to 542	Distance to 540	Distance to 541	Distance to 503	Distance to 508	Distance to 509
510	0	0.000375313	0.000436597	0.000422837	0.00040474	0.000396874	0.000395033	0.000391856	0.000379989	0.000380824	0.000376649	0.000375814	0.000374478	0.000370138	0.000368302	0.000368803	0.000364298	0.0003668	0.000367134	0.000822432	0.000656227	0.000663767	0.000663081	0.000665653	0.000664624	0.000662053	0.000661539	0.000664281	0.000663081	0.000663253	0.000664624	0.000664795	0.000664795	0.000665653	0.000664967	0.000665138	0.000663081	0.000662053	0.00066171	0.000674228	0.000672684	0.000669768	0.000671483	0.000697932	0.000671312	0.000671826
519	0.000375313	0	0.000426527	0.000415628	0.00039838	0.000393695	0.000389849	0.000384834	0.000372141	0.000376649	0.000370805	0.000371306	0.000367968	0.000362964	0.000364131	0.000360295	0.000359795	0.000364298	0.000363631	0.000817216	0.000651945	0.000658454	0.000659311	0.000662567	0.000661367	0.00066291	0.000662396	0.000660682	0.000661881	0.000661196	0.000663081	0.000663595	0.000662224	0.000661881	0.00066171	0.000661881	0.000661539	0.000662567	0.00066291	0.000673542	0.00067114	0.000669254	0.000668053	0.000691915	0.000668396	0.00067114
524	0.000436597	0.000426527	0	0.000131934	0.000115292	0.000116434	0.00011464	0.000110566	0.0000962353	0.000100956	0.0000962353	0.0000931437	0.000092981	0.0000890772	0.0000911916	0.0000863128	0.0000868006	0.000086638	0.0000861502	0.000543066	0.000375313	0.00038333	0.000383163	0.000382495	0.000385002	0.000384834	0.000384667	0.000379989	0.000381492	0.00038166	0.000382996	0.000383498	0.000381492	0.000382495	0.000381994	0.000381827	0.000381827	0.000381827	0.000382161	0.000392525	0.000395535	0.000391688	0.000391688	0.000411941	0.00038684	0.000390518
522	0.000422837	0.000415628	0.000131934	0	0.000102421	0.0000967235	0.0000937945	0.000090053	0.0000768868	0.0000794863	0.0000733136	0.0000767244	0.0000681183	0.0000661707	0.0000682806	0.000066333	0.0000668199	0.0000666576	0.0000689299	0.000520031	0.000352628	0.000358295	0.000358128	0.000359628	0.000360629	0.000360129	0.000359628	0.000359295	0.000359462	0.000357628	0.000358961	0.000359462	0.000359462	0.000360462	0.000358961	0.000358795	0.000357461	0.000356127	0.000356794	0.000368135	0.000368135	0.000367635	0.000368636	0.000385169	0.000363964	0.000367468
523	0.00040474	0.00039838	0.000115292	0.000102421	0	0.0000840368	0.0000832241	0.0000736384	0.0000635745	0.0000689299	0.0000622766	0.0000647103	0.0000538442	0.0000583839	0.0000540063	0.0000572488	0.00005352	0.0000540063	0.0000554653	0.000504307	0.000334979	0.000341969	0.000341136	0.000345632	0.000342302	0.000341136	0.000340304	0.000343134	0.000342468	0.000342635	0.000342635	0.000342801	0.000343634	0.000343634	0.000343134	0.000343134	0.000343301	0.000342135	0.000341136	0.000352294	0.000349629	0.000348796	0.000350962	0.000371306	0.000349962	0.000352628
506	0.000396874	0.000393695	0.000116434	0.0000967235	0.0000840368	0	0.0000723393	0.0000692546	0.0000478482	0.0000567623	0.0000517371	0.00005352	0.0000462282	0.0000472002	0.0000457423	0.0000467142	0.0000407221	0.0000467142	0.0000449324	0.00049485	0.000329657	0.000335146	0.000335312	0.000338806	0.000336643	0.000335645	0.000335811	0.000337974	0.00033681	0.000337309	0.000337974	0.000337142	0.000337808	0.000339472	0.000338307	0.000338141	0.000337475	0.00033631	0.000335978	0.000347463	0.000344133	0.000343467	0.000343467	0.000366967	0.0003438	0.000345798
507	0.000395033	0.000389849	0.00011464	0.0000937945	0.0000832241	0.0000723393	0	0.00006325	0.000055141	0.0000536821	0.0000470382	0.0000488203	0.0000467142	0.0000399127	0.0000413698	0.0000413698	0.0000389414	0.0000400745	0.0000421793	0.000496369	0.000326166	0.00033448	0.000334647	0.000338141	0.000336477	0.00033631	0.000335811	0.000335811	0.000335978	0.000334813	0.000336144	0.000336643	0.000337309	0.000336976	0.000336477	0.000336643	0.000336976	0.000335645	0.000335645	0.000346964	0.000345465	0.0003438	0.000342801	0.000366967	0.000344133	0.000344299
515	0.000391856	0.000384834	0.000110566	0.000090053	0.0000736384	0.0000692546	0.00006325	0	0.0000462282	0.0000467142	0.0000400745	0.0000389414	0.000038132	0.0000368372	0.0000350571	0.0000366753	0.0000339244	0.0000344098	0.0000358662	0.000486412	0.000317027	0.000326	0.000326166	0.000328992	0.000326665	0.00032733	0.000326665	0.000328161	0.000329657	0.000328161	0.000327496	0.000327995	0.000326997	0.000326997	0.000326831	0.000326997	0.000328992	0.000329325	0.000328992	0.00033864	0.000336477	0.000333815	0.000337808	0.000356294	0.000333649	0.000337309
520	0.000379989	0.000372141	0.0000962353	0.0000768868	0.0000635745	0.0000478482	0.000055141	0.0000462282	0	0.0000382939	0.0000361898	0.0000318212	0.0000287481	0.0000287481	0.0000259991	0.0000259991	0.0000216346	0.0000256758	0.0000290715	0.000477982	0.000310884	0.000317194	0.00031736	0.000321513	0.000318855	0.000319353	0.000318855	0.000321513	0.000321679	0.000318522	0.000320184	0.000320682	0.000321347	0.000321347	0.000319851	0.000320017	0.000319353	0.000318688	0.000319353	0.000330988	0.000327662	0.000326665	0.00032866	0.000349129	0.00032467	0.000330489
502	0.000380824	0.000376649	0.000100956	0.0000794863	0.0000689299	0.0000567623	0.0000536821	0.0000467142	0.0000382939	0	0.0000318212	0.0000281012	0.0000324683	0.0000298802	0.0000255141	0.0000245441	0.0000211498	0.000020665	0.0000221195	0.000467537	0.000286676	0.000293966	0.000294463	0.000294961	0.000294629	0.000294463	0.000293635	0.000290983	0.000290155	0.00029264	0.000292972	0.000293469	0.000294132	0.0002938	0.000292972	0.000292806	0.0002938	0.000293138	0.000292143	0.000301924	0.000301924	0.000302588	0.000301593	0.000343301	0.00031188	0.000316695
