	index	accs	source	description	seqlen	organism	division	date	biocategory	species	freq
1155227	1155227	KC131140.1	NEIGHBOR	UNVERIFIED: Dengue virus 1 isolate ZH398, complete genome.	10668	Dengue virus 1	VRL	25-FEB-2013	EX	Dengue virus	3970
491201	491201	FJ205883.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1694/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
829806	829806	HM756275.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4748/2009, complete genome.	10531	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
829807	829807	HM756276.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4809/2009, complete genome.	10539	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
829808	829808	HM756277.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4811/2009, complete genome.	10540	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
829809	829809	HM756278.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4813/2009, complete genome.	10541	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
829810	829810	HM756279.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4816/2009, complete genome.	10539	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
491203	491203	FJ205885.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/NI/BID-V1721/2008, complete genome.	10680	Dengue virus 2	VRL	02-JUN-2009	EX	Dengue virus	3970
491202	491202	FJ205884.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1698/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
491200	491200	FJ205882.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1693/2007, complete genome.	10684	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
825935	825935	HM631869.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4757/2009, complete genome.	10539	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
491199	491199	FJ205881.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1691/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
491198	491198	FJ205880.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/VN/BID-V1690/2007, complete genome.	10678	Dengue virus 2	VRL	02-JUN-2009	EX	Dengue virus	3970
491197	491197	FJ205879.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/VN/BID-V1682/2007, complete genome.	10678	Dengue virus 2	VRL	02-JUN-2009	EX	Dengue virus	3970
491196	491196	FJ205878.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/VN/BID-V1680/2007, complete genome.	10678	Dengue virus 2	VRL	02-JUN-2009	EX	Dengue virus	3970
491195	491195	FJ205877.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/VN/BID-V1674/2007, complete genome.	10677	Dengue virus 2	VRL	02-JUN-2009	EX	Dengue virus	3970
491194	491194	FJ205876.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1673/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
491193	491193	FJ205875.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/US/BID-V1744/1995, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
829805	829805	HM756274.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4747/2009, complete genome.	10537	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
825934	825934	HM631868.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/NI/BID-V4159/2005, complete genome.	10679	Dengue virus 2	VRL	20-JUL-2010	EX	Dengue virus	3970
486530	486530	FJ182009.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V1619/2005, complete genome.	10648	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
825926	825926	HM631860.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4765/2009, complete genome.	10538	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
825919	825919	HM631853.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/KH/BID-V4243/2007, complete genome.	10657	Dengue virus 1	VRL	20-JUL-2010	EX	Dengue virus	3970
825920	825920	HM631854.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/KH/BID-V4315/2008, complete genome.	10665	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
825921	825921	HM631855.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/MX/BID-V3680/2007, complete genome.	10645	Dengue virus 1	VRL	20-JUL-2010	EX	Dengue virus	3970
825922	825922	HM631856.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4796/2009, complete genome.	10495	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
825923	825923	HM631857.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4763/2009, complete genome.	10539	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
825924	825924	HM631858.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4776/2009, complete genome.	10539	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
825925	825925	HM631859.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4795/2009, complete genome.	10539	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
493352	493352	FJ226067.1	NEIGHBOR	Dengue virus 4 isolate DENV-4/US/BID-V860/1994, complete genome.	10606	Dengue virus 4	VRL	02-OCT-2009	EX	Dengue virus	3970
825933	825933	HM631867.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/NI/BID-V4158/2006, complete genome.	10680	Dengue virus 2	VRL	20-JUL-2010	EX	Dengue virus	3970
493351	493351	FJ226066.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/NI/BID-V528/2005, complete genome.	10684	Dengue virus 2	VRL	02-OCT-2009	EX	Dengue virus	3970
825927	825927	HM631861.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4793/2009, complete genome.	10534	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
825928	825928	HM631862.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4767/2009, complete genome.	10539	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
825929	825929	HM631863.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4768/2009, complete genome.	10540	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
825930	825930	HM631864.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4790/2009, complete genome.	10539	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
825931	825931	HM631865.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/NI/BID-V4156/2007, complete genome.	10679	Dengue virus 2	VRL	20-JUL-2010	EX	Dengue virus	3970
825932	825932	HM631866.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/NI/BID-V4157/2006, complete genome.	10680	Dengue virus 2	VRL	20-JUL-2010	EX	Dengue virus	3970
491192	491192	FJ205874.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/US/BID-V1743/1995, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
491191	491191	FJ205873.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/US/BID-V1740/1998, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
491190	491190	FJ205872.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/US/BID-V1739/1998, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486540	486540	FJ182019.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1635/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486547	486547	FJ182026.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1649/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486546	486546	FJ182025.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1646/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486545	486545	FJ182024.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1644/2007, complete genome.	10675	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486544	486544	FJ182023.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1642/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486543	486543	FJ182022.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1640/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486542	486542	FJ182021.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1639/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
