Isolate	Distance to 380	Distance to 378	Distance to 379	Distance to 381	Distance to 382	Distance to 385	Distance to 383	Distance to 384	Distance to 386
380	0	0.0000744504	0.0000757498	0.000349296	0.000370638	0.000344466	0.000300597	0.000266159	0.000280219
378	0.0000744504	0	0.0000720146	0.00036313	0.000370638	0.000355294	0.00030856	0.000282371	0.000298442
379	0.0000757498	0.0000720146	0	0.00036313	0.000377985	0.000344299	0.000305905	0.000274923	0.000293635
381	0.000349296	0.00036313	0.00036313	0	0.0000666576	0.000234795	0.000188083	0.000168569	0.000190873
382	0.000370638	0.000370638	0.000377985	0.0000666576	0	0.00024337	0.000198099	0.000190873	0.000207631
385	0.000344466	0.000355294	0.000344299	0.000234795	0.00024337	0	0.000154653	0.000169553	0.000156126
383	0.000300597	0.00030856	0.000305905	0.000188083	0.000198099	0.000154653	0	0.000119695	0.00010747
384	0.000266159	0.000282371	0.000274923	0.000168569	0.000190873	0.000169553	0.000119695	0	0.0000960725
386	0.000280219	0.000298442	0.000293635	0.000190873	0.000207631	0.000156126	0.00010747	0.0000960725	0
