Isolate	Distance to 510	Distance to 519	Distance to 524	Distance to 522	Distance to 523	Distance to 506	Distance to 507	Distance to 515	Distance to 520	Distance to 502	Distance to 513	Distance to 512	Distance to 521	Distance to 518	Distance to 514	Distance to 517	Distance to 516	Distance to 505	Distance to 511	Distance to 504	Distance to 503	Distance to 508	Distance to 509
510	0	0.000375313	0.000436597	0.000422837	0.00040474	0.000396874	0.000395033	0.000391856	0.000379989	0.000380824	0.000376649	0.000375814	0.000374478	0.000370138	0.000368302	0.000368803	0.000364298	0.0003668	0.000367134	0.000822432	0.000697932	0.000671312	0.000671826
519	0.000375313	0	0.000426527	0.000415628	0.00039838	0.000393695	0.000389849	0.000384834	0.000372141	0.000376649	0.000370805	0.000371306	0.000367968	0.000362964	0.000364131	0.000360295	0.000359795	0.000364298	0.000363631	0.000817216	0.000691915	0.000668396	0.00067114
524	0.000436597	0.000426527	0	0.000131934	0.000115292	0.000116434	0.00011464	0.000110566	0.0000962353	0.000100956	0.0000962353	0.0000931437	0.000092981	0.0000890772	0.0000911916	0.0000863128	0.0000868006	0.000086638	0.0000861502	0.000543066	0.000411941	0.00038684	0.000390518
522	0.000422837	0.000415628	0.000131934	0	0.000102421	0.0000967235	0.0000937945	0.000090053	0.0000768868	0.0000794863	0.0000733136	0.0000767244	0.0000681183	0.0000661707	0.0000682806	0.000066333	0.0000668199	0.0000666576	0.0000689299	0.000520031	0.000385169	0.000363964	0.000367468
523	0.00040474	0.00039838	0.000115292	0.000102421	0	0.0000840368	0.0000832241	0.0000736384	0.0000635745	0.0000689299	0.0000622766	0.0000647103	0.0000538442	0.0000583839	0.0000540063	0.0000572488	0.00005352	0.0000540063	0.0000554653	0.000504307	0.000371306	0.000349962	0.000352628
506	0.000396874	0.000393695	0.000116434	0.0000967235	0.0000840368	0	0.0000723393	0.0000692546	0.0000478482	0.0000567623	0.0000517371	0.00005352	0.0000462282	0.0000472002	0.0000457423	0.0000467142	0.0000407221	0.0000467142	0.0000449324	0.00049485	0.000366967	0.0003438	0.000345798
507	0.000395033	0.000389849	0.00011464	0.0000937945	0.0000832241	0.0000723393	0	0.00006325	0.000055141	0.0000536821	0.0000470382	0.0000488203	0.0000467142	0.0000399127	0.0000413698	0.0000413698	0.0000389414	0.0000400745	0.0000421793	0.000496369	0.000366967	0.000344133	0.000344299
515	0.000391856	0.000384834	0.000110566	0.000090053	0.0000736384	0.0000692546	0.00006325	0	0.0000462282	0.0000467142	0.0000400745	0.0000389414	0.000038132	0.0000368372	0.0000350571	0.0000366753	0.0000339244	0.0000344098	0.0000358662	0.000486412	0.000356294	0.000333649	0.000337309
520	0.000379989	0.000372141	0.0000962353	0.0000768868	0.0000635745	0.0000478482	0.000055141	0.0000462282	0	0.0000382939	0.0000361898	0.0000318212	0.0000287481	0.0000287481	0.0000259991	0.0000259991	0.0000216346	0.0000256758	0.0000290715	0.000477982	0.000349129	0.00032467	0.000330489
502	0.000380824	0.000376649	0.000100956	0.0000794863	0.0000689299	0.0000567623	0.0000536821	0.0000467142	0.0000382939	0	0.0000318212	0.0000281012	0.0000324683	0.0000298802	0.0000255141	0.0000245441	0.0000211498	0.000020665	0.0000221195	0.000467537	0.000343301	0.00031188	0.000316695
